classify,name,comment,star,price,address,commentlist
美食,呱呱叫干锅主题餐厅,3535                    条点评,四星商户,人均                                        ￥88,国济路30号,口味8.0                                环境8.5                                服务8.6
美食,JUICY  ROYALE(中影合生汇店),5                    条点评,三星商户,人均                                    -,翔殷路1099号地上四层21号,口味7.2                                环境7.1                                服务7.2
美食,不二茶铺·原麦(五角场合生汇店),302                    条点评,四星商户,人均                                        ￥32,翔殷路1099号L2-49,口味8.0                                环境8.5                                服务8.6
美食,味千拉面(淞沪三分店),1870                    条点评,三星商户,人均                                        ￥42,淞沪路77号万达广场B1层,口味7.2                                环境7.1                                服务7.2
美食,大咀港式茶餐厅(特力时尚汇店),7786                    条点评,四星商户,人均                                        ￥82,邯郸路600号万达商业广场特力时尚汇2层,口味8.0                                环境8.5                                服务8.6
美食,丸来玩趣(特力屋店),39                    条点评,三星商户,人均                                        ￥18,政通路189号1F-31-1/1F-31-2,口味7.2                                环境7.1                                服务7.2
美食,棒约翰比萨(五角场万达店),1587                    条点评,准五星商户,人均                                        ￥66,政通路189号特力时尚汇2楼,口味8.0                                环境8.5                                服务8.6
美食,三林(三林大红肠国定路店),我要点评,三星商户,人均                                    -,国定路171号,口味7.2                                环境7.1                                服务7.2
美食,小辉哥火锅(百联又一城购物中心店),4192                    条点评,准五星商户,人均                                        ￥139,淞沪路8号百联又一城购物中心7层,口味8.0                                环境8.5                                服务8.6
美食,望湘园(五角场店),8171                    条点评,四星商户,人均                                        ￥89,政通路189号万达广场特力时尚汇5F,口味8.0                                环境8.5                                服务8.6
美食,新疆风味,2                    条点评,准四星商户,人均                                    -,邯郸路399号d3,口味7.4                                环境7.4                                服务7.4
美食,瘦马,470                    条点评,准四星商户,人均                                        ￥20,四平路五角场地铁站苏宁出口,口味7.1                                环境7.6                                服务7.7
美食,56°cake花盆蛋糕(合生汇店),521                    条点评,四星商户,人均                                        ￥42,翔殷路1099号合生汇5F,口味8.0                                环境8.5                                服务8.6
美食,老上海葱油饼,7                    条点评,四星商户,人均                                    -,国定路171号305店铺,口味7.1                                环境7.6                                服务7.7
美食,夏拉拉便当轻食(五角场店),1                    条点评,准四星商户,人均                                    -,五角场黄兴路,口味7.4                                环境7.4                                服务7.4
美食,1点点(合生汇店),229                    条点评,四星商户,人均                                        ￥15,翔殷路1099号合生汇B2,口味8.0                                环境8.5                                服务8.6
美食,阿满鸡排(五角场万达店),178                    条点评,准四星商户,人均                                        ￥17,淞沪路77号万达广场C区1层,口味7.1                                环境7.6                                服务7.7
美食,东北小院(邯郸路店),10                    条点评,准四星商户,人均                                        ￥16,邯郸路399号,口味7.4                                环境7.4                                服务7.4
美食,港丽餐厅(百联又一城购物中心店),3631                    条点评,四星商户,人均                                        ￥105,淞沪路8号百联又一城购物中心6层,口味8.0                                环境8.5                                服务8.6
美食,50岚(五角场森活天地店),25                    条点评,准四星商户,人均                                        ￥17,松沪路199号太平洋森活天地A-1-1号,口味7.1                                环境7.6                                服务7.7
美食,烨焰红唇串串香,88                    条点评,二星商户,人均                                        ￥39,五角场国济路12号,口味7.4                                环境7.4                                服务7.4
美食,狠牛火锅料理(特力时尚汇店),113                    条点评,四星商户,人均                                        ￥93,特力时尚汇1楼,口味8.0                                环境8.5                                服务8.6
美食,谷田稻香(五角场万达店),19                    条点评,准四星商户,人均                                        ￥31,淞沪路77号万达广场地下一层A-02-1,口味7.1                                环境7.6                                服务7.7
美食,粢饭团摊,1                    条点评,准四星商户,人均                                    -,五角场翔殷路公交站往西走十米的小巷子往北拐十米,口味7.4                                环境7.4                                服务7.4
美食,花御烧(合生汇店),934                    条点评,四星商户,人均                                        ￥82,翔殷路1099号合生汇B2,口味8.0                                环境8.5                                服务8.6
美食,凯悦酒店嘉宾轩,2                    条点评,准四星商户,人均                                    -,四平路2482号,口味7.1                                环境7.6                                服务7.7
美食,虞家锅盔,27                    条点评,准四星商户,人均                                        ￥12,五角场万达B1,口味7.1                                环境7.6                                服务7.7
美食,MANGOSIX(合生汇店),566                    条点评,四星商户,人均                                        ￥42,翔殷路1099号合生汇2楼-46铺位旁边,口味8.0                                环境8.5                                服务8.6
美食,牛排研究室(特力时尚汇店),107                    条点评,准四星商户,人均                                        ￥95,邯郸路600号万达商业广场特力时尚汇5层,口味7.1                                环境7.6                                服务7.7
美食,苹果花园(四平路店),539                    条点评,准四星商户,人均                                        ￥25,四平路2093号-3,口味7.1                                环境7.6                                服务7.7
美食,外婆家(又一城店),12085                    条点评,四星商户,人均                                        ￥67,淞沪路8号百联又一城6楼24号铺,口味8.0                                环境8.5                                服务8.6
美食,三只小小猪(城市集市合生汇店),178                    条点评,三星商户,人均                                        ￥20,黄兴路2228号合生汇B2层城市集市A2,口味7.1                                环境7.6                                服务7.7
美食,肯德基(邯郸店),161                    条点评,三星商户,人均                                        ￥19,"邯郸路585号地下一层B-2,B-8-1,B-8-3",口味7.1                                环境7.6                                服务7.7
美食,渔珍鲜(五角场店),3                    条点评,准四星商户,人均                                        ￥60,邯郸路600号第一食品商店1楼,口味7.4                                环境7.4                                服务7.4
美食,精致上海本帮菜,563                    条点评,准四星商户,人均                                        ￥94,邯郸路第一食品商店3楼,口味7.1                                环境7.6                                服务7.7
美食,火神の肉(百联又一城购物中心店),711                    条点评,准四星商户,人均                                        ￥104,淞沪路8号百联又一城购物中心B1层,口味7.1                                环境7.6                                服务7.7
美食,林檎,5                    条点评,准四星商户,人均                                    -,国济路1号,口味7.4                                环境7.4                                服务7.4
美食,郑佳豪大大鸡排&奶茶,3                    条点评,准四星商户,人均                                    -,四平路2138号,口味7.4                                环境7.4                                服务7.4
美食,捉虾,1829                    条点评,四星商户,人均                                        ￥117,邯郸路399号,口味7.1                                环境7.6                                服务7.7
美食,冠生园月饼,1                    条点评,准四星商户,人均                                    -,邯郸路600号第一食品1楼,口味7.4                                环境7.4                                服务7.4
美食,茶泰(合生汇店),345                    条点评,四星商户,人均                                        ￥16,翔殷路1099号合生汇B2,口味8.0                                环境7.7                                服务7.8
美食,Godiva(上海合生汇店),160                    条点评,四星商户,人均                                        ￥50,翔殷路1099号L1-44B,口味8.0                                环境7.7                                服务7.8
美食,炉鱼(五角场合生广场店),2394                    条点评,准四星商户,人均                                        ￥86,翔殷路1099号上海合生汇B2楼07号,口味8.0                                环境7.7                                服务7.8
美食,红唇串串香(合生汇店),473                    条点评,四星商户,人均                                        ￥33,翔殷路1099号合生国际广场B2层C14室,口味8.0                                环境7.7                                服务7.8
美食,奉茶(五角场店),148                    条点评,准五星商户,人均                                        ￥19,五角场国宾路99号,口味8.0                                环境7.7                                服务7.8
美食,小辉哥火锅(合生国际店),1620                    条点评,四星商户,人均                                        ￥133,黄兴路2228号L5-04号,口味8.0                                环境7.7                                服务7.8
美食,爱晒·我家酸菜鱼,283                    条点评,四星商户,人均                                        ￥83,五角场国济路30—5,口味8.0                                环境7.7                                服务7.8
美食,表叔茶餐厅(合生汇店),4309                    条点评,四星商户,人均                                        ￥70,翔殷路1099号合生汇B2,口味8.0                                环境7.7                                服务7.8
美食,和府捞面(合生店),2340                    条点评,四星商户,人均                                        ￥44,翔殷路1099号，合生广场B2－02,口味8.0                                环境7.7                                服务7.8
美食,寻蛙记炭烧牛蛙餐厅(合生汇店),2757                    条点评,四星商户,人均                                        ￥103,翔殷路1099号合生汇5F,口味8.0                                环境7.7                                服务7.8
美食,爱微卡(五角场店),33                    条点评,准四星商户,人均                                        ￥27,邯郸路399号D9铺,口味7.4                                环境7.4                                服务7.4
美食,东北风(特力时尚汇店),4773                    条点评,四星商户,人均                                        ￥57,邯郸路600号万达商业广场特力时尚汇1层,口味8.0                                环境7.7                                服务7.8
美食,中国（上海）创业者公共实训基地食堂,1                    条点评,准四星商户,人均                                    -,国定东路200号2号楼1楼,口味7.4                                环境7.4                                服务7.4
美食,南粤春大酒店,648                    条点评,四星商户,人均                                        ￥236,黄兴路2200号蓝天宾馆3/4层,口味8.0                                环境7.7                                服务7.8
美食,农夫烤薯,8                    条点评,准四星商户,人均                                    -,五角场邯郸路孺子牛杂旁,口味7.4                                环境7.4                                服务7.4
美食,一笼小确幸(合生汇店),3673                    条点评,四星商户,人均                                        ￥87,黄兴路2228号合生国际广场4层,口味8.0                                环境7.7                                服务7.8
美食,家乡阁,189                    条点评,准四星商户,人均                                        ￥59,邯郸路399号,口味7.4                                环境7.4                                服务7.4
美食,TPlus茶家(特力时尚汇店),811                    条点评,四星商户,人均                                        ￥18,邯郸路600号万达商业广场特力时尚汇1层,口味8.0                                环境7.7                                服务7.8
美食,水果羮八宝粥,11                    条点评,准四星商户,人均                                    -,政通路285弄,口味7.4                                环境7.4                                服务7.4
美食,串行天下(城市集市合生汇店),67                    条点评,准四星商户,人均                                        ￥27,黄兴路1167号,口味8.2                                环境8.4                                服务8.4
美食,味锦(城市集市合生汇店),252                    条点评,准四星商户,人均                                        ￥23,黄兴路合生汇国际广场B2层,口味8.2                                环境8.4                                服务8.4
美食,吴妈私房鱼圆,1                    条点评,准四星商户,人均                                    -,邯郸路397号,口味6.8                                环境6.8                                服务6.9
美食,缘丰料理(城市集市合生汇店),190                    条点评,准四星商户,人均                                        ￥77,黄兴路2228号合生汇B2层城市集市C5商铺,口味8.2                                环境8.4                                服务8.4
美食,弄堂模子(老上海味道),24                    条点评,准四星商户,人均                                        ￥20,五角场街道邯郸路399号,口味8.2                                环境8.4                                服务8.4
美食,碗上叫鸡(邯郸路店),5                    条点评,准四星商户,人均                                    -,邯郸路399号底楼A3,口味6.8                                环境6.8                                服务6.9
美食,唐饼家(百联又一城购物中心店),62                    条点评,准四星商户,人均                                        ￥80,淞沪路8号百联又一城购物中心B1层,口味8.2                                环境8.4                                服务8.4
美食,文本hahatea,41                    条点评,三星商户,人均                                        ￥17,国宾路91号-5,口味8.2                                环境8.4                                服务8.4
美食,凌鹭阁,3                    条点评,准四星商户,人均                                    -,邯郸路399号,口味6.8                                环境6.8                                服务6.9
美食,和米堂(百联又一城),152                    条点评,准四星商户,人均                                        ￥19,淞沪路8号,口味8.2                                环境8.4                                服务8.4
美食,撸啊撸串,5                    条点评,准四星商户,人均                                    -,翔殷路1099号合生汇B2,口味8.2                                环境8.4                                服务8.4
美食,三个国王,1                    条点评,准四星商户,人均                                    -,邯郸路600号第一食品商店,口味6.8                                环境6.8                                服务6.9
美食,红房子西点(万达店),187                    条点评,准四星商户,人均                                        ￥36,淞沪路77号万达广场2层,口味8.2                                环境8.4                                服务8.4
美食,wein friends,5                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城八楼,口味6.8                                环境6.8                                服务6.9
美食,港式铁板炒饭(大学路店),6                    条点评,准四星商户,人均                                    -,政通路189号,口味6.8                                环境6.8                                服务6.9
美食,爱茜茜里意大利健康冰淇淋(五角场万达店),1583                    条点评,四星商户,人均                                        ￥30,淞沪路77号万达广场B1层146号,口味8.2                                环境8.4                                服务8.4
美食,越光米,6                    条点评,准四星商户,人均                                    -,黄兴路1167号,口味6.8                                环境6.8                                服务6.9
美食,星轩咖啡,23                    条点评,准四星商户,人均                                        ￥12,国宾路100号,口味6.8                                环境6.8                                服务6.9
美食,Joytalk 沙拉(五角场店),114                    条点评,准四星商户,人均                                        ￥33,黄兴路2228号地下二层04号,口味8.2                                环境8.4                                服务8.4
美食,天使之橙,10                    条点评,准四星商户,人均                                        ￥14,10号线五角场站内,口味6.8                                环境6.8                                服务6.9
美食,三六九农家菜,3                    条点评,准四星商户,人均                                    -,五角场地铁旁,口味6.8                                环境6.8                                服务6.9
美食,快乐柠檬(合生汇二店),218                    条点评,准四星商户,人均                                        ￥14,黄兴路2228号合生汇B2层40、41、47号,口味8.2                                环境8.4                                服务8.4
美食,CoCo都可茶饮（邯郸路店）(代购),4                    条点评,三星商户,人均                                    -,邯郸路589号,口味6.8                                环境6.8                                服务6.9
美食,红布坊脆皮鸡米饭,20                    条点评,准四星商户,人均                                        ￥24,邯郸路399号,口味6.8                                环境6.8                                服务6.9
美食,爱不腻(城市集市合生汇店),81                    条点评,准四星商户,人均                                        ￥23,黄兴路2228号合生汇B2层城市集市B5商铺,口味8.2                                环境8.4                                服务8.4
美食,八点醒黑糖甜品店(合生汇店),922                    条点评,四星商户,人均                                        ￥21,翔殷路1099号合生汇B2,口味8.4                                环境8.5                                服务8.2
美食,sushi yano,1                    条点评,三星商户,人均                                    -,四平路2450号,口味6.8                                环境6.8                                服务6.9
美食,鸡排超人(合生汇店),80                    条点评,准四星商户,人均                                        ￥19,翔殷路1099号合生汇B2,口味8.2                                环境8.4                                服务8.4
美食,禾绿回转寿司(百联又一城购物中心店),6057                    条点评,四星商户,人均                                        ￥84,淞沪路8号百联又一城购物中心4层,口味8.4                                环境8.5                                服务8.2
美食,沙拉密语,1                    条点评,三星商户,人均                                    -,淞沪路8号第六层G09-F06-1-020室,口味6.8                                环境6.8                                服务6.9
美食,星巴克(上海合生国际广场店),354                    条点评,四星商户,人均                                        ￥38,翔殷路1099号上海合生国际广场B1,口味8.4                                环境8.5                                服务8.2
美食,和府捞面(百联又一城店),387                    条点评,四星商户,人均                                        ￥44,沪淞路8号百联又一城7楼,口味8.4                                环境8.5                                服务8.2
美食,独钓寒江(五角场万达店),2789                    条点评,四星商户,人均                                        ￥94,政通路189号万达广场特力时尚汇3层,口味8.4                                环境8.5                                服务8.2
美食,卡旺卡(万达广场五角场店),2392                    条点评,四星商户,人均                                        ￥15,淞沪路77号万达广场B区B1层,口味8.4                                环境8.5                                服务8.2
美食,卡乐星(合生汇店),720                    条点评,四星商户,人均                                        ￥41,翔殷路1099号合生汇B2,口味8.4                                环境8.5                                服务8.2
美食,HEY JUICE茶桔便(国济路店),144                    条点评,准四星商户,人均                                        ￥17,国济路12号,口味6.9                                环境7.2                                服务6.5
美食,小杨生煎(合生汇店),639                    条点评,四星商户,人均                                        ￥23,黄兴路2228号合生汇B2楼,口味8.4                                环境8.5                                服务8.2
美食,唐饼家(五角场店),424                    条点评,准四星商户,人均                                        ￥44,淞沪路77号万达广场1层,口味6.9                                环境7.2                                服务6.5
美食,米芝莲(城市集市合生汇店),602                    条点评,四星商户,人均                                        ￥23,黄兴路2228号合生汇B2层城市集市C11,口味8.4                                环境8.5                                服务8.2
美食,木仔记(百联又一城购物中心店),434                    条点评,准四星商户,人均                                        ￥17,淞沪路8号百联又一城购物中心B1层,口味6.9                                环境7.2                                服务6.5
美食,川城(特力时尚汇店),941                    条点评,四星商户,人均                                        ￥93,邯郸路600号万达商业广场特力时尚汇4层,口味8.4                                环境8.5                                服务8.2
美食,图门烧烤(四平路店),5                    条点评,三星商户,人均                                    -,四平路2081号,口味6.9                                环境7.2                                服务6.5
美食,彼得家牧场(百联又一城购物中心店),589                    条点评,四星商户,人均                                        ￥93,淞沪路8号百联又一城购物中心B1层,口味8.4                                环境8.5                                服务8.2
美食,必胜客(邯郸店),2006                    条点评,三星商户,人均                                        ￥70,淞沪路77号B-13,口味6.9                                环境7.2                                服务6.5
美食,鱼酷活鱼现烤(五角场万达店),3188                    条点评,四星商户,人均                                        ￥96,政通路189号万达特力时尚汇4楼407号铺,口味8.4                                环境8.5                                服务8.2
美食,爱咪欧冻酸奶Eimio(合生汇店),587                    条点评,四星商户,人均                                        ￥24,翔殷路1099号合生汇B2,口味6.9                                环境7.2                                服务6.5
美食,夜航者吧式串烤餐厅(五角场店),1107                    条点评,四星商户,人均                                        ￥100,四平路2138号2楼,口味8.4                                环境8.5                                服务8.2
美食,泰芒了,6                    条点评,准四星商户,人均                                    -,五角场翔殷路,口味6.9                                环境7.2                                服务6.5
美食,赤九港品(合生汇店),715                    条点评,四星商户,人均                                        ￥17,翔殷路1099号合生汇4F,口味8.4                                环境8.5                                服务8.2
美食,三町目,4                    条点评,准四星商户,人均                                    -,翔殷路1099号合生广场6楼,口味6.9                                环境7.2                                服务6.5
美食,爱茜茜里意大利健康冰淇淋(东方商厦杨浦店),803                    条点评,四星商户,人均                                        ￥33,四平路2500号东方商厦B1层,口味6.9                                环境7.2                                服务6.5
美食,湘水情,30                    条点评,准四星商户,人均                                        ￥27,邯郸路399号红街食坊A7,口味7.2                                环境7.2                                服务7.2
美食,爆爆椒香辣虾干锅三绝(五角场总店),10834                    条点评,四星商户,人均                                        ￥73,国济路12号,口味7.9                                环境7.7                                服务7.9
美食,恒记冰室(五角场店),337                    条点评,准四星商户,人均                                        ￥17,淞沪路77号万达广场C区1层003号,口味6.9                                环境7.2                                服务6.5
美食,满记甜品(又一城店),3185                    条点评,四星商户,人均                                        ￥34,淞沪路8号B1－6商铺,口味7.9                                环境7.7                                服务7.9
美食,royaltea 皇茶(四平路店),13                    条点评,准四星商户,人均                                    -,四平路2138号,口味7.2                                环境7.2                                服务7.2
美食,龙门花甲时尚海鲜,22                    条点评,准四星商户,人均                                        ￥24,邯郸路399号D10-11,口味6.9                                环境7.2                                服务6.5
美食,胜博殿日式炸猪排(合生汇店),1024                    条点评,准四星商户,人均                                        ￥98,翔殷路1099号合生汇4F,口味7.9                                环境7.7                                服务7.9
美食,一食当家,1                    条点评,准四星商户,人均                                    -,五角场第一食品二楼,口味7.2                                环境7.2                                服务7.2
美食,世界茶饮,21                    条点评,准四星商户,人均                                        ￥19,四平路2492号,口味6.9                                环境7.2                                服务6.5
美食,汉堡王(上海五角场店),4903                    条点评,准四星商户,人均                                        ￥27,"政通路189号近淞沪路,万达商业广场特力时尚汇内",口味7.9                                环境7.7                                服务7.9
美食,City Mart,1                    条点评,准四星商户,人均                                    -,中环路合生汇B2层,口味7.2                                环境7.2                                服务7.2
美食,哆可牛乳茶,15                    条点评,准四星商户,人均                                    -,邯郸路399号D10-11室,口味6.9                                环境7.2                                服务6.5
美食,哈根达斯(上海又一城店),872                    条点评,准四星商户,人均                                        ￥83,淞沪路8号一楼G09-F01-1-1026.1027,口味7.9                                环境7.7                                服务7.9
美食,开心丽果,3                    条点评,准四星商户,人均                                    -,五角场万达广场城中城B1层,口味7.2                                环境7.2                                服务7.2
美食,宜芝多(江湾体育场店),5                    条点评,准四星商户,人均                                    -,江湾体育场3号口,口味6.9                                环境7.2                                服务6.5
美食,CHOP CHOP steak bar(合生汇直营店),920                    条点评,四星商户,人均                                        ￥97,黄兴路2228号合生国际广场B2层城市集市A5商铺,口味7.9                                环境7.7                                服务7.9
美食,印湘一家有态度的湘菜馆,1                    条点评,准四星商户,人均                                    -,国定东路26号,口味7.2                                环境7.2    
